Q,A,label
지금은 고모가 저희를 봐주고 있지만 오래 갈 거라고 생각하지 않아요.,,1
언제나 정신이 들면 침대 위거나 집안 소파이거나 해서.,,1
그렇게 큰 문제는 없을 거라 생각했는데.,,1
지난 주 일요일에 담배를 사러 나왔다가.,,1
근데 그럼 출퇴근 하는 게 거의 한 시간이 더 걸려. 아침엔 많이 막히니까.,,1
먹는 게 딱히 더 늘지도 않았어. 그냥 평소처럼 먹고 그랬으니까.,,1
아침에 애들 학교 데려다주고 저녁까지 일하다 애들 밥 챙겨주고…,,1
그리고 다시 나와서 또 일하다 밤늦게 들어갔어요.,,1
내가 일을 안 하는 것도 아니고 나도 일을 하는데.,,1
그래도 저희 둘은 힘들었던 시절이 있었으니까 버틸 수 있었는데…,,1
잠은 주로 아침 9시부터 오후 3시 정도까지 자요.,,1
뭐 아예 안 가는 것도 아니고 그냥 조금 늦는 것 뿐이잖아?,,1
얼마 전에 퇴근하다 어떤 여자를 구해줬거든.,,1
취한 놈들 여럿이서 여자 한 명 붙잡고 엄청 괴롭히고 있길래 그냥 바로 갔어.,,1
내가 진짜 예전에 철 없을 때 한 세 번 성매매를 한 적이 있거든.,,1
처음에는 군 선임이 강제로 데려간 거였고 나중에는 친구들이랑 간 거였어.,,1
제대하고 나서는 한 번도 안 갔어.,,1
그래서 진짜 울며 겨자 먹기로 결국 요구하는 돈을 주긴 했어.,,1
그 이후로 그냥저냥 생활하고 있었어요.,,1
집에서 제가 좋아하는 음악을 하면서 생활했어요.,,1
마음 맞는 사람들끼리 모여 밴드를 하고 있어.,,1
"기타를 칠때도 있고, 노래할 때도 있어.",,1
군대가기 전까지만 밴드활동 틈틈히 하면서 지내려고해.,,1
그리고 첫째 아이가 간 후부터 운전을 못 하게 됐거든요.,그렇군요. 생활이 많이 불편해지셨겠어요.,1
그때부터 더 이상 운전을 할 수가 없었어.,운전이 힘드시군요. 하기 힘든 걸 억지로 할 순 없죠. ,1
그래서 얼른 차를 세우고 당장 112를 불렀어.,,1
그 뒤로는 자가용은 그냥 집에 두고 다니고 있어요.,,1
"이틀 전에 할머니 생신이셨는데, 제가 차를 운전할 수가 없으니까 3명, 3명으로 나눠져서 택시를 탔어요.",,1
그렇다고 안 씻을 수도 없는데… 씻는게 이렇게 스트레스일 줄이야…,스트레스를 많이 받으시는군요. 그럴 땐 모든 걸 다 놓아버리고 싶죠.,1
참는게 일상이라…스트레스가 심하네요.,그렇군요. 고단하시겠어요. ,1
그것 때문에 너무 스트레스를 받았죠.,걱정거리를 말하는 게 스트레스 완화에 도움이 된다고 해요. 어떤 일이 당신에게 스트레스를 주나요?,1
사실 요즘 스트레스를 많이 받긴 했어요.,,1
자잘한 스트레스가 계속 쌓인 거 같아요.,,1
특별히 힘든 일이나 그런 것도 없는데 왜 그런지 모르겠어요.,잘 지내고 계신다니 제 마음이 놓여요.,1
아침에 일어나면 TV도 보고 쇼핑도 하고 그럭저럭 잘 지냈어요.,평범하게 생활한다는 게 참 어려운 것 같아요. 큰일이 없으시다니 다행이에요.,1
남들은 생활이 어려워 힘든데… 나는 그런 건 아니니까.. 감사하게 생각하려고 했죠.,"아, 그렇군요. 보기 좋아요.",1
원래 잠이 많은 편이 아니라 특별히 힘든건 없어요.,,1
형부가 잘 챙겨줘서 일 하는데 힘든건 별로 없어요.,,1
서울 와서 생활 패턴이 조금 나아졌어요.,,1
직장생활 할 때보다 더 마음이 더 안정되는 것 같아요.,,1
지금까지는 무난하게 살았고 그런 적도 없었어요.,,1
근데 원인이 뭔지 모르겠어. 평소에 물 마실 만큼 마시는데…,,1
음식을 짜게 먹는 것도 아닌데 왜 이러는 거지?,,1
그래도 경제적으로 풍족해서 큰 어려움 없이 지냈어요.,,1
저도 틈틈히 제 생활 하면서요.,,1
"지금도 잘 지내고있고, 아들이 너무나 대견했어요.",,1
친구들이랑 기분전환 삼아 일본에 놀러 갈 때까지만 해도 괜찮았거든요.,여행은 즐거우셨나요?,1
중국에 좀 자주 가는 편이에요.,여행을 다녀오셨군요.,1
"가서 아들 살림도 봐주고, 관광도 좀 하고… 그러다가 저번 주에 한국에 들어왔어요.",,1
근데 올해 초에 런던에 여행을 갔는데…,,1
런던까지는 꼬박 열두시간이 걸리거든?,,1
"운동도 좋아해서 헬스도 몇 년 째 꾸준히 하고 있고, 주말엔 등산도 자주 가고… ",운동을 좋아하시는군요.,1
그래서 자려다가 말고 운동 가방을 챙겨서 헬스장으로 갔어.,운동이 취미이시군요.,1
몸이 너무 불어난 거 같아서 겨울부터 운동을 다니고 있어요.,"아, 그렇군요. 좋은 취미를 가지고 계시네요.",1
아니 한 2주 전인가? 그 때 점심시간에 공 찼거든.,,1
밥 먹고 바로 뛰긴 했는데 뭐 항상 그랬으니까 이거때문은 아닌 것 같아.,,1
바로 내려서 의자에 앉아서 쉬니까 좀 낫더라고요.,"아, 그런 일이 있으셨군요. 지금은 괜찮으신가요?",1
의자에 앉아서 좀 쉬니까 괜찮아지더라고요. ,많이 놀라셨겠어요. 나아졌다니 다행이에요.,1
좀 앉아서 쉬니까 괜찮아졌어요. ,,1
그런데 시간이 지나니까 자연스럽게 돌아오더라고요. ,,1
나와서 구급차를 불렀는데 구급차가 도착하자마자 괜찮아졌어요.,,1
"평일에는 퇴근하고 영어 회화 수업 들으러 다니고, 주말에는 평소 춤 추는 거 좋아해서 탱고 배우러 다녀요.",좋은 취미를 가지고 계시네요.,1
그래서 평일에는 영어 학원 나가.,적절한 취미 활동은 생활에 활력을 주는 것 같아요.,1
딱딱하고 재미 없을 줄 알았는데 영어를 회화로 배우니까 제법 재미가 있더라.,재미있어 보여요. 저도 함께 하고 싶네요.,1
"다니다 보니까 거기 학생들이랑도 많이 친해지고, 좋은 취미인 거 같아.",,1
"운동은 필요한데, 헬스는 지겨울 거 같고… 그래서 주말에 탱고를 끊었어.",,1
"춤을 추니까 운동량도 많고, 되게 재밌어. ",,1
평일에도 집에서 혼자 거울 보고 스텝 밟는다니까.,,1
춤바람 들어서 주변에도 막 권해주고… 나 때문에 춤 시작한 사람도 몇 명 있어.,,1
나 평소에 자전거 타러 다니는 거 좋아했잖아. 내 유일한 취미고.,,1
"전 공연도 많이 보는 편이고, 전시회도 기회가 될 때마다 가거든요.",,1
"바둑, 낚시, 등산, 이런 거 나랑 너무 안 맞는 거 같아.",,1
대답을 하기도 전에 머리로 손이 날아왔어요.,아프고 놀랐겠어요. 괜찮아요?,1
운이 나쁜 날에는 맞을 때도 있어요.,당신이 걱정돼요. ,1
처음에는 그냥 살짝 밀치는 정도였거든요?,주변에 도움을 요청할 수 있나요? 걱정스러워요.,1
근데 나중 되니까 벽에다가 머리를 박고… 피를 봐야 멈췄어요.,,1
밥 많이 먹는다고 얻어맞은 적도 있어요.,,1
원래 텍사스에 거주해.,"네, 그러시군요. 해외에서 거주하셨군요.",1
내가 열다섯 살 때까지 미국에서 살았거든.,그런 경험이 있으시군요.,1
어릴 때부터 부모님 따라 해외에 나가 있었어. 텍사스에서 제일 오래 살았지.,,1
그 이후로 쭉 일본에서 살고있었어요.,,1
벌써 타지생활을 한지 14년이 되가네요...,,1
혼자서 뭔가를 해본게 처음이거든요.,혼자서 생활하는 것도 나쁘지 않은 것 같아요.,1
퇴근하고 집에 오면 혼자야. 그냥 나 혼자 자취하는 느낌?,"아, 그렇군요. 혼자가 편할 때도 많죠.",1
아마 계속 그럴 것 같아요. 딱히 혼자가 싫은 것도 아니고.,,1
이혼이 문제는 아니었는데 그냥 그 후부터 계속 혼자 있어서 그런 것 같아.,,1
친한친구도 없고 항상 혼자였어.,,1
결국 6개월을 더 쉬겠다고 했어.,그렇군요. 휴식이 필요할 때가 있는 것 같아요.,1
좀 길게 쉬긴 했지.,쉴 때는 푹 쉬어야죠.,1
주저앉아서 쉬다가 일어났어요. ,그러셨군요. 휴식을 충분히 취하셨으니 괜찮아질 거예요.,1
병원에서 퇴원하고 집으로 돌아오고 나서 바로 출근을 안 하고 집에서 좀 쉬는 중이야.,,1
고등학교 졸업한 후에 딱히 대학 갈 생각이 없어서 한 일 년 정도 놀았어요.,,1
한동안 목에 무리가는 일은 하지 말라고 해서 결국 일 좀 쉬고 있거든.,,1
내가 그런 불합리한 일에 참을 사람이 아니지.,세상엔 정말 다양한 성격의 사람이 많은 것 같아요. 그 중에서 당신을 만나 행복해요.,1
어렸을 때부터 그랬어서 그런 것 같아요.,"네, 그렇군요. 모든 사람들이 그런 면을 조금씩 가지고 있는 거 같아요.",1
원래 성격 자체가 이래서 어쩔 수 없는 것 같기도 하고…,그런 성격이시군요.,1
물건들이 정신없이 널려 있는 걸 못 보겠어.,,1
내 성격이 정말 이상한걸까?,,1
이게 진짜 내 성격이 쓰레기 같다는 거 아는데…,,1
내가 어렸을 때부터 되게 준법 의식? 원칙을 지켜야 한다는 거에 집착했거든.,,1
원래 주먹부터 나가는 성격이라.,,1
천성이 가만히 못 있는 것 같아.,,1
제가 특별히 스트레스받는 성격이 아니라고 생각을 하는 것 같아요.,,1
그런데 그렇지 않거든요. 사실 너무 예민해서 집에 오면 히스테리를 부려요.,,1
다른 사람에게 나쁜소리도 못하고 싫은 소리도 못하는게 좋은 점인 것 같더라고요.,,1
남 밑에서 일하는 건 성격에 안 맞아서 시작했는데.,,1
나만 특별해! 이게 아니라 그냥… 좀 남들과 다른 고민을 하는 성격이거든.,,1
제가 원래 성격 상 보증 같은 거 절대 안 서거든요.,,1
제가 원래 미신 이런 걸 되게 잘 믿거든요.,,1
내가 너무 예민해서 그런가? 싶었는데 나 그렇게 예민한 성격도 아니거든.,,1
근데 이런 성격은 타고난 건데 어쩔 수 없는 거잖아요.,,1
저도 이게 다른 사람한테 편한 성격은 아니라는 거 알고 있어요.,,1
"뭔가 나한테 안 좋게 하면, 그냥 넘어가도 될 걸 크게 만드는 편이야. ","아, 그러시군요. 사람마다 성격이 다르니까요.",1
끝을 봐야 하는 스타일이에요.,화끈한 성격을 가지고 계시는군요.,1
중간이란게 없는 편이야. 굉장히 극단적이지. 적당히 하는건 나랑 거리가 멀어.,,1
좋은 거든 나쁜 거든 극단까지 끌고 가니까…,,1
평소에 성격이 극단적이라는 소리를 좀 많이 듣긴 해.,,1
근데 내가 생각해도 그래. 성격이 좀 끝에서 끝을 달리거든.,,1
좋으면 엄청 좋아하는데 싫으면 진짜 죽을 만큼 싫어하고.,,1
또 친구랑 숨 참기 내기 했는데 어디까지 참을 수 있나 싶더라.,,1
내가 좀 성격이 급해.,그렇군요. 답답함을 자주 느끼시겠어요.,1
내 성격이 원래 급하긴 해.,단점도 있지만 장점이 많은 성격이죠.,1
차분한 성격의 사람이 부러워.,,1
"성격이 급하다 보니까 말도 급하고, 더 과격하게 표현이 나가는 거 같아.",,1
"친구 따라서 낚시도 가봤는데, 참을성이 없어서 한 마리도 못 잡았어.",,1
그거 지루해서 어떻게 기다리고 있나 몰라.,,1
"식당 가도 주문도 제대로 못하고, 처음 보는 사람이랑 같이 있는게 죽기보다 싫거든. ",조용한 성격을 가지고 계시는군요. ,1
원래 제가 성격이 소심하긴 해요.,"네, 그런 성격을 가지고 계시는군요.",1
다른 사람한테 말도 잘 못 걸고… ,,1
오프라인 쇼핑몰도 불편해서 주로 온라인으로 주문해요.,,1
본래 사람들 앞에 잘 나서는 성격이 아니야.,,1
그냥 뒤에서 보는 게 편한 타입?,,1
어렸을 때부터 내성적인 편이었어요.,,1
원래 성격이 좀 내성적인 편이예요.,,1
제가 성격이 센 편이 아니라..그런 말들에 대응을 잘 못해요.,,1
원래 화 같은 거 안 냈고 그냥 엄청 조용했거든요.,,1
원래 성격이 좀 내성적이고 소심한 편이긴 해.,조심성이 많은 성격이시군요.,1
평소에 말이 없고 소심한 편이야.,조금 느리지만 실수할 일이 적어서 좋은 성격인 것 같아요.,1
나는 내 이런 소심한 성격이 너무 싫어…,그렇군요. 가끔 답답함을 느끼시겠어요.,1
내가 워낙 새가슴이야.,,1
안 그래도 소심한 성격인데 요즘 더 심해진 것 같아요.,,1
소심한 성격이라서 선생님한테 버스 세워달라는 말도 못하고 결국 사고를 친거지.,,1
제가 워낙 조심스러운 성격이거든요.,,1
걸음마도 굉장히 늦게 뗐다고 하더라구. 한걸음 내딛는데도 한참을 생각했다나 뭐라나..,,1
뭐든지 두번세번 알아보고 실행하는 편이야.,,1
제가 평소에는 성격이 되게 소심한 편이거든요.,,1
아무리 좋아해도 내 성격이 소심해서 고백도 못 하니까.,,1
원래 성격이 되게 소심했어요.,,1
제가 원래 성격이 좀 소심하거든요.,,1
처음에는 이게 제가 성격이 워낙 소심해서 그런 건 줄 알았거든요.,,1
내가 성질이 좀 예민해. ,그런 성격을 가지고 계시는군요. 힘드실 때도 있겠지만 장점이 많은 거 같아요.,1
젊을 때부터 예민한 성격이었어요. ,남들이 못 느끼는 것도 잘 느끼시겠어요.,1
외동딸이라 집에서 오냐 오냐 키운 것도 있고… 성격도 예민한 편이라 가리는게 많아요.,그러시군요. 듣고 있으니 더 말씀하세요.,1
"그동안 잘 몰랐는데, 내가 예민한 편인 것 같아.",,1
원래 난 좀 예민한 편이야.,,1
내가 생각해도 성격이 좀 예민한 편이긴 해.,,1
예전부터 신경 쓰이는 일이 있으면 잠도 안 올 정도로 예민한 편이야.,,1
생각보다 예민하다는 소리를 좀 많이 듣는 거 같아.,,1
불면이 심해지니까 점점 성격도 날카로워지는 것 같더라구요.,,1
성격도 좀 예민한것 같고…,,1
평소에 좀 예민하다는 소리를 많이 듣긴 해.,,1
제가 워낙 성격이 예민해요.,,1
제가 어렸을 때부터 성격이 예민하단 소리를 많이 들었어요.,,1
너는 왜 그렇게 쓸데없이 예민하니 이 소리 엄청 들었거든요.,,1
제가 예전부터 예민하단 소리를 많이 들었어요.,,1
학교 다닐 때부터 그랬던 것 같아요. 남한테 싫은 소리 듣기 싫어서 엄청 신경쓰면서 살았던 것 같아요.       ,실수하는 걸 싫어하는 성격이시군요.,1
평소 완벽을 추구하는 편이예요. ,그런 성격을 가지고 계시는군요. 꼼꼼한 걸 좋아하시나 봐요.,1
성격 상 타고나길 완벽주의에요.,"아, 그렇군요.",1
조금이라도 흐트러지거나 틀린 게 있으면 못 참는 편이에요.,,1
뭘 하든 완벽하게 해야 한다는 주의긴 하지만 그런 줄은 몰랐어요.,,1
나는 완벽하게 딱 맞아떨어지는 걸 좋아해.,,1
나는 완벽주의자 성향이 있어.,,1
나는 좀 모든 걸 완벽하게 하려는 성격이야.,,1
완벽주의 성향이라 성적은 항상 좋았어요.,,1
뭔가를 빼먹고 실수하는 걸 제일 싫어하거든.,,1
나는 업무나 집안일이나 확실하게 처리하자는 주의였거든.,,1
성격이 좀 완벽주의에요. 뭐든지 실수하는 게 너무 싫어요.,,1
"어렸을 때부터 남들 갖고 있는 거 꼭 가져야 하고, 못 가지면 드러누워서 울고, 욕심이 많았대.",하고 싶은 게 많다는 건 건강하다는 뜻이죠.,1
욕심이 많은 성격이에요. ,그렇군요. 좋은 성격이라고 생각해요.,1
하고 싶은 것도 많고.,,1
원래 욕심이 많은 성격이야. 뭐든 내가 더 가져야 직성이 풀려.,,1
원래 성격이 지는거 싫어하고 승부욕이 강한편이에요.,,1
제가 워낙 욕심이 많아요.,,1
회사에서 사람들이 저보고 자기 중심적인 면이 있다는거에요. ,저는 자신을 먼저 생각하는 게 나쁘다고 생각하지 않아요.,1
좀 자기 중심적인 면도 있어요.,당신을 챙길 수 있는 건 당신뿐이잖아요. 전 좋다고 생각해요.,1
자기중심적인 면이 있어요. ,"아, 그렇군요.",1
뭐든 내 위주로 해야 마음이 편해요.,,1
나 성격이 좀… 나만 생각하는 편인 것 같아.,,1
원래 성격이 자립적이야.,그렇군요. 저는 아주 멋지다고 생각해요.,1
힘든 일 있어도 딱히 남한테 기대거나 말하고 그러지 않아.,혼자서도 잘할 수 있는 게 많다니 정말 멋져요.,1
"말해서 해결되는 거면 그렇게 하겠는데, 말해도 바뀌는 것도 없고. 보통은 나 혼자 잘 처리해.",,1
"혼자서도 잘 지내는데, 필요성을 못 느끼겠다고 해야 하나.",,1
힘들어도 혼자 잘 이겨내는 타입이야. 세상은 어차피 혼자 살다 가는 거니까요.,,1
그래서 자연스럽게 혼자 알아서 하는 성격이 됐어요.,,1
안 좋은 일을 빨리 겪다 보니 나이또래에 비해 성숙한 편이었죠.,,1
시아주버니가 문제가 많은 사람이었어.,"아, 정말요?",1
그래서 시부모님을 저희가 모시고 살았어요. ,그렇군요.,1
결혼 초에는 시할머님까지 계셨어요.,"네, 더 말씀해주세요.",1
시갓집이 완전 시골에 있긴 하거든?,,1
얼마 전에 시누이가 애를 낳았거든요.,,1
근데 엄청 비싼 산후조리병원에 들어간 거예요.,,1
솔직히 그럴 돈 없거든요. 집이 그렇게 잘 사는 것도 아닌데.,,1
시누이는 이혼하고 집에 있는데 아무 것도 안 해요. 내가 하지.,,1
이번 어머니 생신 때 남편 고모님도 오셨었어요.,,1
남편이 목장을 구경시켜주고 시갓집에 인사를 하러 가자고 하더라고.,,1
"나는 남편이 막내여서, 시부모님 모실 일은 없겠구나 생각했었어.",,1
둘째 아주버님은 아예 비혼주의야. 자기 혼자 살겠대!!,,1
시댁에는 성병 얘기까진 안 했어요. 너무 자존심 상하니까요.,,1
근데 시댁에서… 며느리가 잘못 들어와서 그런 거라는 거예요.,,1
그런데 언제는 시누이가 들이닥쳐서 제 속옷을 가져가는 거예요.,,1
시댁에서 저에게 바라는것두 너무 많구.,,1
남친 엄마가 미친 싸이코 또라이 같아.,시'가 붙은 분들과는 정말 잘 지내기가 어려운 것 같아요.,1
"나한테 넌 학비 대면서 돈 안 내놓냐, 요즘 예단 1억 정도 한다더라, 우리 서울 올라갈 테니 집 해놔라 이런 말을 하는 거야.",상처를 많이 받으셨을 것 같아요. 괜찮으세요?,1
시댁이 집이랑 가깝기도 하고… 어르신들이니까 잘해드리자 싶었는데 어쩜 저한테 그러시나 몰라요.,,1
남편이 출장 가고 집에 나밖에 없는데 시어머니가 자꾸 찾아와.,,1
어머니가 자꾸 남편이랑 나 사이를 방해하는 것 같아요.,,1
그 이후에도 시댁과 많은 갈등이 있었어요.,,1
하루종일 시어머니랑 같이 있으려니 숨이 다 막혀요.,마음 고생이 많으시겠어요.,1
그 늙은네가 사람 약 올리는 짓을 어찌나 잘하는지…,중재해줄 사람이 있으면 좋을 텐데… 마음이 아파요.,1
진짜 기분 나쁜 거는 어머니가 저한테만 오래된 밥을 퍼줘요.,,1
"저 딴에는 진짜 잘하고 있는 건데, 작년에는 저보고 큰며느리로서 뭘 그렇게 짜다리 잘한 게 있냐고 뭐라고 하시고…",,1
"처음에는 편하게 시어머니, 시아버지를 대했다가 시어머니에게 혼난 후로는 더 그런 것 같아요..",,1
"저는 집을 구해서 따로 나가 살았으면 했는데… 사정이 안 돼서 시동생, 시아주버니랑 같이 살게 됐어요.",그러시군요. 마음이 많이 답답하시겠어요.,1
아주버님이 그것 때문에 몇 억씩 대출을 받았었어. 근데 알고보니까 애아빠가 그 돈을 다 갚고 있는거야!,얼른 해결이 되기를 바랄게요.,1
아주버님 사정이 많이 어려운것 같긴 한데.. 우리도 애 둘 키우면서 사정이 넉넉하지 않거든.,마음이 풀릴 때까지 들어드릴게요.,1
아주버님이 그것 때문에 몇 억씩 대출을 받았었어. 근데 알고 보니까 애 아빠가 그 돈을 다 갚고 있는 거야!,,1
아주버님 사정이 많이 어려운 것 같긴 한데.. 우리도 애 둘 키우면서 사정이 넉넉하지 않거든.,,1
"이번에 카페 알바를 하는데, 같은 시간대에 2명이나 같이 일하거든. ","네, 그렇군요. 부지런히 지내시네요.",1
원래는 없었는데 편의점 알바 한 후부터 이렇게 됐거든.,아르바이트를 하면 하루하루 성실하게 보낼 수 있어 좋은 것 같아요.,1
애기들한테 영어 가르치는 알바를 소개 받았어요.,파이팅입니다. 제가 늘 응원하는 거 아시죠?,1
카페에서 일하면 재밌을 거 같아서 알바 지원서를 냈어요.,,1
실업계 고등학교를 졸업하고 바로 아르바이트를 시작했어.,,1
살이 빠져서 그런지 카페 알바 면접을 봤는데 오라고 하더라구!,,1
처음 도서관에서 단독근무 할 때는 혼자 일해서 굉장히 좋았거든.,,1
그런데 도서관이 너무 조용한거야.,,1
사람들은 대학입시에 각종 자격증.. 고시공부고.. 취직시험..엄청 치열한데.,,1
틈틈히 알바도 하면서 준비했지.,,1
모리라고 고양이를 키웠어. ,그런 일이 있으셨군요.,1
고양이가 물거나 할퀼 수도 있지 않나? ,정말요? 더 들려주세요.,1
고양이가 사람 말을 들으면 그게 사람이지 고양이야?,,1
"아니, 집 오니까 버찌가 없는 거야.",,1
그러니까 문 열린 사이에 나가버렸다는 거야.,,1
일부러 밀어 내지 않는 이상 걔가 어떻게 나가?,,1
병원 가는 것도 싫어하는 앤데 어떻게 나가겠냐고.,,1
쥐돌이도 못 가지고 노는 애가 물긴 뭘 물어.,,1
그런 날은 개 산책도 절대 안 시켜요.,,1
"오빠나 엄마는 싫어하고, 반대했는데, 내가 다 알아서 한다고 하고 겨우 집에서 키우고 있었거든.",상심이 크셨겠어요. 가족이나 다름없는 사이인데 말이에요.,1
시험 공부 하느라 밤 늦게 집에 들어갔는데 모리가 없는 거야. ,가족들에게 섭섭하셨겠어요.,1
뭔가 느낌이 이상해서 어디갔냐고 난리치니까 사나운 애를 어떻게 계속 두냐고…,저도 마음이 답답하네요… ,1
그러다 다른 집 사람까지 물면 어떡하냐고 아는 고양이 키우는 사람한테 줘버렸다는 거야.,,1
아니 어떻게 나한테 말도 없이 그렇게 한 건지 진짜 이해가 안 갔어. ,,1
다시 고양이 찾아온다니까 그럴 거면 나도 집 나가래. ,,1
내가 그렇게 애지중지하는 거 잘 알면서 어떻게 그럴 수 있지? ,,1
알고 보니까 내가 학교 간 사이에 가족들이 밖에 내다버린 거였어.,,1
"어렸을 때 내가 자는 걸 보고 엄마가 잠깐 외출했는데, 그 사이에 내가 깬 거야. ",네. 그렇군요. 무슨 일이 있으셨나요?,1
초등학교 때 다른 애들보다 키도 크고 좀 성숙했거든. ,너무 강렬해서 어릴 때 겪었더라도 잊히지 않는 기억들이 있는 것 같아요. 그래서 어떻게 되었나요?,1
초등학교 2학년 때였을 거에요. 엄마는 계속 집에서 누워만 있었던 것 같아요.,"네, 듣고 있어요. 더 이야기해주세요.",1
내가 광주에서 태어나서 중학교까지는 거기서 다녔거든?,,1
고등학교 때는 친구들이랑 우루루 몰려다니는 걸 좋아했어.,,1
친구랑 놀다가 집에 왔는데 아무 소리도 안 나고 이상한 냄새가 났어요.,,1
2살때 있었던 일도 기억이 나.,,1
"제가 되게 어렸을 때, 한 두세 살 쯤?",,1
숨바꼭질 할 때도 맨날 밖에 있다 걸려서 술래였어요.,,1
스물한 살 때 회사 워크샵으로 용평을 갔었거든요.,,1
중학생 때 우리 반이 합창을 하게 됐거든?,,1
내가 어렸을 때 살던 동네가 되게 시골이었거든?,,1
그래서 나도 어렸을 때부터 당연히 법조인이 돼야 한다고 생각했어.,,1
되게 어릴 때… 한 열 살 때부터 그랬던 것 같아요.,,1
너무 심하게 당해서 그 후 더 이상해진 것 같아.,,1
어릴때는 철이 빨리 들었다는 얘길 들었어요.,,1
그냥 불안해. 특별한 이유가 없어도.,,1
어렸을 때부터 생각했어요.,,1
중학교 때 좋아했던 친구에게 고백한 적이 있었거든요.,,1
친구로 지내고 있었는데 숨길 수 없을 만큼 좋아하게 돼서...,,1
주체할 수 없어서 고백한 순간 그 친구의 표정을 잊을 수가 없어요.,,1
열여덟살이었어요. 분명 열여덟살이었는데…,,1
가족끼리 다 아는 동네 아저씨였어요.,,1
학생 때는 잘 나갔었는데.,,1
그때는 이 년 전 이고 너무 어려서 서로 아무 말 안 했던 것 같아.,,1
중 3때 였어. 불과 열여섯.,,1
어릴 때 거기 미용사님이 그렇게 멋있어 보일 수가 없는 거예요.,,1
어릴 때 집이 되게 잘 살았어요. 아마 학교에서 제일 잘 살았을 걸요.,,1
옆집 아주머니가 저를 알아보고 구해주셔서 다행이었죠.,,1
물론 그 때 선생님이 엄청 뭐라 하긴 했는데 그냥 그러려니 했어.,,1
근데 초등학교 6학년때인가…,,1
어렸을 때 집안 형편이 진짜 안 좋았어요. ,그러셨군요. 어릴 때 마음 고생이 많으셨겠어요.,1
"그 좁은 방 두 칸 짜리에 삼남매에 엄마, 아빠, 할머니까지 여섯 식구가 살았어요.",그런 일이 있으면 주눅이 들잖아요. 잘 버텨오신 거 같아 다행이에요.,1
어렸을 때 집이 그렇게 잘 사는 편이 아니었어. ,그런 어린 시절을 보내셨군요.,1
다 쓰러져가는 판자집 같은 데서 다섯 식구가 살았어. ,,1
어렸을 때 집안 사정이 좀 안 좋았어.,,1
사는 곳도 거의 달동네였고 먹는 것도 변변치 않았거든.,,1
학교에서 연탄을 떼던 건 내가 유일할 정도로 가난했지.,,1
여자친구는 만난 지 2년 정도 됐는데… 포항에 있거든요.,"아, 그렇군요. ",1
여자친구랑은 원래 건너건너 알던 사이였어.,연애 중이시군요.,1
여자친구랑 떨어지기가 싫었어.,여자친구에 대해 고민이라도 있으신가요?,1
1년 만난 여자친구가 있어. 내가 진짜 사랑하는 여자야.,,1
아는 형 결혼식에 갔다가 피로연에서 지금 여자친구를 처음 만났어.,,1
지금 여자친구랑 만난 지 1년 좀 넘었어요.,,1
"여자친구는 광주에 있고, 난 서울이라 주말에만 만나거든.",,1
여자친구는 소개팅으로 만났거든요.,,1
근데 왜 헤어졌냐면… 그 때 기념일에 분위기가 되게 좋았어요.,,1
해보라고 했더니 걔가 사실 자기가 남자라는 거예요.,,1
예전에 회사 들어가기 전에 잠깐 사귄 여자친구가 있었는데.,,1
걔를 이 때 잠깐 만났어요. 그 때 좀 안 좋게 헤어졌거든요.,,1
꼭 여자친구만 문제가 아니야.,,1
사실 내가 지금 여친을 좋아해서 만난 게 아니거든.,,1
아무튼 그런데 여친이 연수 때문에 지금 포항 가 있거든.,,1
지금 여자친구를 만난 지는 한 일 년 정도 됐어요.,,1
만나고 나서 진짜 딱 너무 잘 맞는다 싶어서 결혼하고 싶더라구요.,,1
둘 다 아직 학생이지만 그래도 마음이 잘 맞으니까…,,1
엄청 설득했는데 두 분 다 저희를 못 믿겠다고 하시더라구요.,,1
지금 여친은 건너서 알게 됐는데 친구의 친구였거든.,,1
내가 여친을 고딩 때 만나서 계속 사귀고 있거든.,,1
그래서 이렇게 된 이상 같이 해결했으면 좋겠는데 걘 싫대.,,1
아무튼 그런데 여친이 연수 때문에 지금 포항 가 있거든.,,1
원거리 연애라 그런가? 크게 심리적으로 가깝다는 느낌이 안 들어요.,연애 때문에 고민이 많으신가 봐요.,1
2년동안 사귄 여자친구가 있어요. 남들은 이정도 사귀면 깊은 관계라고 하던데…,여러 가지 형태의 연애가 있다고 생각해요.,1
제 생각에 우리는... 크게 가깝지는 않아요. 항상 거리를 유지하려고 해요. 그게 편하니까요.,,1
그렇게 간 지 좀 됐는데 서로 연락은 해. 근데 친하진 않아.,,1
그렇게 간 지 좀 됐는데 서로 연락은 해. 근데 친하진 않아.,,1
그래서 여자친구랑 인천에서 먼저 살림을 차려버렸어요.,그렇군요. 서로 오래 볼 수 있어 좋겠어요.,1
그리고 인천으로 올라와서 여자친구랑 동거를 시작했어.,함께 살면 좋은 점도 나쁜 점도 많을 것 같아요. 어떤가요?,1
결국 집 나와서 여자친구랑 동거 중이야.,행복한 연애 중이신 거 같아요.,1
여자친구랑은 건너 건너 아는 사이였어요.,,1
여자친구랑 동거 중이예요.,,1
거의 자취방에서 살다시피 하니까 차라리 동거를 하는 게 낫겠다 싶어서 같이 산지 한 달 됐어.,,1
그래서 일단 잘 살 수 있다는 거 보여드리려고 9개월 전부터 같이 살고 있어요.,,1
